,index,pitax_2027,pitax_ref_2027,pitax_ref_2028,pitax_ref_2029,pitax_ref_2030,pitax_ref_2031,pitax_ref_2032
0,<0,0,0,0,0,0,0,0
1,=0,0,0,0,0,0,0,0
2,0-0.5 m,"6,938","6,938","6,328","5,947","5,270","4,235","3,590"
3,0.5-1m,"74,958","74,958","65,853","64,029","53,325","51,140","49,174"
4,1-1.5m,"90,293","90,293","97,856","101,165","110,008","110,175","93,024"
5,1.5-2m,"77,275","77,275","97,058","100,798","100,317","100,225","117,057"
6,2-3m,"89,365","89,365","100,096","123,132","151,369","179,814","207,318"
7,3-4m,"56,983","56,983","65,322","74,925","92,506","102,095","116,314"
8,4-5m,"51,351","51,351","53,911","57,890","60,919","74,283","87,337"
9,5-10m,"127,647","127,647","152,795","180,584","206,662","235,270","263,604"
10,>10m,"257,252","257,252","305,905","363,186","432,817","514,168","610,741"
11,ALL,"832,061","832,061","945,124","1,071,656","1,213,193","1,371,406","1,548,160"
